sep=;
Change-Id=I89f923fb757ef71856dee25e4c49f7b233b6a974; subject=net/mlx4_core: Add counters mode to slave meta-data; feature=mlx4_vf_counters; upstream_status=NA; general=;
Change-Id=Idb22053182d8ce3f3e86fee0ea1a5c30169beb03; subject=net/mlx4_core: Rename interface counter define; feature=mlx4_vf_counters; upstream_status=NA; general=;
Change-Id=I06e535bdb4b1407398db62df66fbe69080e9fa27; subject=net/mlx4_core: Remove deprecated counter bit from INIT_HCA; feature=mlx4_vf_counters; upstream_status=NA; general=;
Change-Id=I45404842b8b3f06cf3cae43e3657f61e94dec1dd; subject=net/mlx4_core: Set device to extended counters mode; feature=mlx4_vf_counters; upstream_status=NA; general=;
Change-Id=I34658da0cc55d95c01b0dadcb00dac22c8d5ad66; subject=net/mlx4_en: Add infrastructure to get/set VF attributes; feature=mlx4_vf_counters; upstream_status=NA; general=;
Change-Id=I5e2f0533b992e79d98e75bcfbbe2961e1ef9f046; subject=net/mlx4_en: Add sysfs support to display VFs performance counters via hypervisor; feature=mlx4_vf_counters; upstream_status=NA; general=;
Change-Id=I90dc3750236092ce17764712852aaac3f4e54c89; subject=net/mlx5e: Dynamically extend/reduce the RX internal page cache; feature=mlx5_en_page_cache; upstream_status=NA; general=;
Change-Id=I10aa1df47c568631b31714e61b234e2b8834d0fa; subject=net/mlx5e: Fix TIRs modify flows; feature=mlx5e_fixes_4.10; upstream_status=in_progress; general=;
Change-Id=Ic380f3c42c425f5d93c2f02d6ec0a65d5ffa0029; subject=net/mlx5e: Keep pages in RX cache DMA-unmapped; feature=mlx5e_fixes_4.10; upstream_status=NA; general=;
Change-Id=Ie4d0d76ea4b6f0f5a9c55f7807094b53d0546331; subject=net/mlx5e: Enhancements for RX page-cache reduce decision; feature=mlx5_en_page_cache; upstream_status=NA; general=;
Change-Id=I63f4097b79e2c74afe80b6118ab1b877644fbfa6; subject=net/mlx4_en: Add ethtool counter for RX inline scatter; feature=mlx4_en_inline_scatter; upstream_status=in_progress; general=;
Change-Id=Iff9f5bbe995847e38d5cdc95d77c6cb21c28aedc; subject=net/mlx4_en: Remove high order pre-allocations in RX datapath; feature=mlx4_en_bugs; upstream_status=NA; general=;
Change-Id=Iee6333ec84769d4c20263d61afab5559a6854c25; subject=net/mlx5e: Align XDP_REDIRECT refcount with the refcnt optimizaiton; feature=mlx5e_xdp_redirect; upstream_status=NA; general=;
Change-Id=I7405f8cab42097ac1f0d37b42ea19687bdd5e931; subject=net/mlx4_en: ensure rx_desc updating reaches HW before prod db updating; feature=mlx4_en_bugs; upstream_status=in_progress; general=;
Change-Id=Iac271ae9e485b393326333fb84b031b26993528f; subject=net/mlx5e: RX, Implement page biased-refcount optimization; feature=mlx5e_perf_improvements; upstream_status=NA; general=;
Change-Id=I8d298f12dcc44832828a4ffc538597d13be7d30d; subject=net/mlx5e: Expose new function for TIS destroy loop; feature=mlx5_vf_lag; upstream_status=in_progress; general=;
Change-Id=I744ddd83b9b2a27eb6b0781ef3471c3030343d23; subject=net/mlx5e: Support LAG TX port affinity distribution; feature=mlx5_vf_lag; upstream_status=in_progress; general=;
Change-Id=I69c8357317f63c48ca5b9ac253ee693ad8546162; subject=net/mlx5e: Make sure num LAG ports is non-zero; feature=mlx5_vf_lag; upstream_status=in_progress; general=;
Change-Id=I4d530d3095c5a61aaac03dc47f662b8fa349b8d3; subject={net,IB}/mlx5e: Make sure lag_tx_port_affinity is valid when used; feature=mlx5_vf_lag; upstream_status=in_progress; general=;
